word_bigrams,count_bigrams,word_trigrams,count_trigramst
o produto,2825,recebi o produto,842
não recebi,1468,não recebi o,699
recebi o,1037,não foi entregue,383
foi entregue,772,o produto não,338
e não,733,ainda não recebi,318
ainda não,647,até o momento,236
produto não,619,o produto e,218
meu produto,564,até agora não,199
não foi,559,produto não foi,190
do produto,529,e até agora,176
não chegou,451,recebi meu produto,161
produto e,439,prazo de entrega,157
até agora,411,não recebi meu,154
com o,403,dinheiro de volta,154
com a,362,o produto que,137
a compra,361,o produto veio,135
o que,347,e ainda não,132
um produto,343,meu dinheiro de,131
a entrega,326,o momento não,124
e até,320,produto não chegou,123
